name,price,url,image,description,dimensions,material,color,category,brand
Fulton Pine,£99,https://www.dunelm.com/product/fulton-pine-effect-bathroom-undersink-unit-1000201889?defaultSkuId=30765722,https://images.dunelm.com/30765722.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery Fulton Pine Effect Bathroom Undersink Unit,N/A,N/A,N/A,bathroom undersink unit,Dunelm
Theodore,£229,https://www.dunelm.com/product/theodore-2-drawer-wide-bedside-table-1000234105?defaultSkuId=30872715,https://images.dunelm.com/30872715.jpg?$v8srpgrid$&img404=noimagedefault,"2 Drawer Wide Bedside Table, Mango Wood",N/A,mango wood,2 Colours,bedside table,Dunelm
Hattie Sofa,£999,https://www.dunelm.com/product/hattie-cosy-weave-3-seater-sofa-1000240330?defaultSkuId=30886205,https://images.dunelm.com/30886205.jpg?$v8srpgrid$&img404=noimagedefault,Conscious Choice 3 Seater Sofa,N/A,N/A,3 Colours,sofa,Dunelm
Grant Plush,£469 - £789,https://www.dunelm.com/product/grant-plush-velvet-ottoman-bed-1000217899?defaultSkuId=30852891,https://images.dunelm.com/30852891.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,7 Colours,bed,Dunelm
Martha Sofa,£629.30 - £899,https://www.dunelm.com/product/martha-vintage-velvet-2-seater-sofa-1000197755?defaultSkuId=30917768,https://images.dunelm.com/30917768.jpg?$v8srpgrid$&img404=noimagedefault,30% Off Selected,2 seater,velvet fabric,vintage,sofa,Dunelm
Arianna Armchair,£299,https://www.dunelm.com/product/arianna-tulip-print-armchair-1000220547?defaultSkuId=30827476,https://images.dunelm.com/30827476.jpg?$v8srpgrid$&img404=noimagedefault,Conscious Choice armchair with tulip print,N/A,N/A,N/A,armchair,Dunelm
Vera Side Table,£99,https://www.dunelm.com/product/vera-side-table-1000273816?defaultSkuId=31018789,https://images.dunelm.com/31018789.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,table,Dunelm
Dixie Sofa,£370.30,https://www.dunelm.com/product/dixie-2-seater-sofa-fabric-1000238435?defaultSkuId=30909162,https://images.dunelm.com/30909162.jpg?$v8srpgrid$&img404=noimagedefault,Soft Texture Fabric 2 Seater Sofa,N/A,fabric,N/A,sofa,Dunelm
Arbour Chair,£104.30,https://www.dunelm.com/product/arbour-brown-faux-leather-industrial-office-chair-1000268876?defaultSkuId=30971230,https://images.dunelm.com/30971230.jpg?$v8srpgrid$&img404=noimagedefault,Brown faux leather industrial office chair with 30% off clearance,N/A,faux leather,brown,chair,Dunelm
Fulton,£249,https://www.dunelm.com/product/fulton-6-seater-dining-bench-set-1000235291?defaultSkuId=30866649,https://images.dunelm.com/30866649.jpg?$v8srpgrid$&img404=noimagedefault,6 Seater Rectangular Dining Table with 2 Benches,N/A,N/A,N/A,dining table,Dunelm
Kalia,£679,https://www.dunelm.com/product/kalia-6-seater-dining-table-oak-1000225637?defaultSkuId=30870248,https://images.dunelm.com/30870248.jpg?$v8srpgrid$&img404=noimagedefault,6 Seater Dining Table,N/A,oak,oak,table,Dunelm
Scallop Sideboard,£229,https://www.dunelm.com/product/scallop-small-sideboard-1000264688?defaultSkuId=30966044,https://images.dunelm.com/30966044.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,sideboard,Dunelm
Zen Console Table,£799,https://www.dunelm.com/product/zen-console-table-1000242264?defaultSkuId=30916311,https://images.dunelm.com/30916311.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,table,Dunelm
Tiva Ladder,£110,https://www.dunelm.com/product/tiva-ladder-tv-unit-1000125451?defaultSkuId=30606932,https://images.dunelm.com/30606932.jpg?$v8srpgrid$&img404=noimagedefault,"TV Unit for TVs up to 42""",N/A,N/A,N/A,tv unit,Dunelm
