name,price,url,image,description,dimensions,material,color,category,brand
Olney Bookcase,£229,https://www.dunelm.com/product/olney-narrow-bookcase-stone-1000255868?defaultSkuId=30924859,https://images.dunelm.com/30924859.jpg?$v8srpgrid$&img404=noimagedefault,Narrow bookcase in stone color with quick delivery,N/A,N/A,Stone,bookcase,Dunelm
Nautical Corner Ladder,£49,https://www.dunelm.com/product/nautical-corner-ladder-shelving-unit-1000234107?defaultSkuId=30873461,https://images.dunelm.com/30873461.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,3 Colours,shelving unit,Dunelm
Olney,£279.20 - £349,https://www.dunelm.com/product/olney-6-seater-dining-table-and-bench-set-1000258003?defaultSkuId=30925494,https://images.dunelm.com/30925494.jpg?$v8srpgrid$&img404=noimagedefault,6 Seater Dining Table and Bench Set,N/A,N/A,N/A,dining table,Dunelm
Fulton Nest,£79,https://www.dunelm.com/product/fulton-nest-of-tables-1000246160?defaultSkuId=30645284,https://images.dunelm.com/30645284.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,tables,Dunelm
Helga Metal Desk,£119.20 - £149,https://www.dunelm.com/product/helga-metal-desk-1000268165?defaultSkuId=30967412,https://images.dunelm.com/30967412.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,metal,N/A,desk,Dunelm
Divan Base,£119 - £369,https://www.dunelm.com/product/bedmaster-luxury-chenille-universal-divan-base-1000256325?defaultSkuId=30962449,https://images.dunelm.com/30962449.jpg?$v8srpgrid$&img404=noimagedefault,Luxury Chenille Universal Divan Base,N/A,chenille fabric,N/A,bed base,Dunelm
Estelle Chair,£199,https://www.dunelm.com/product/estelle-chunky-chenille-occasional-chair-1000265774?defaultSkuId=30968980,https://images.dunelm.com/30968980.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,chenille fabric,N/A,chair,Dunelm
Beatrice Sofa,£399,https://www.dunelm.com/product/beatrice-snuggle-sofa-relaxed-faux-leather-1000240528?defaultSkuId=30893172,https://images.dunelm.com/30893172.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,faux leather,relaxed,sofa,Dunelm
Quinn Armchair,£159,https://www.dunelm.com/product/quinn-textured-sherpa-occasional-armchair-1000256372?defaultSkuId=30926628,https://images.dunelm.com/30926628.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,N/A,N/A,chair,Dunelm
Nautical Cabinet,£79,https://www.dunelm.com/product/nautical-3-drawer-cabinet-unit-1000180787?defaultSkuId=30824843,https://images.dunelm.com/30824843.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,N/A,N/A,cabinet,Dunelm
