Cost,Product Name,Category,Sub-Category,Dimensions (W x D x H),Material,Colour/Finish,Product URL,Image URL,Notes
"£2,195","Theodore Armchair, Leather",Armchair,Armchair,"H84.5 x W64 x D75cm / H33.3 x W25.2 x D29.5""",Leather,Sangria,https://www.sohohome.com/products/theodore-armchair-leather/72737350,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=389%3b0%3b389%3b0/images/original/279839-72737220-listingjpg.jpg,
"£2,195","Theodore Armchair, Leather",Armchair,Armchair,"H84.5 x W64 x D75cm / H33.3 x W25.2 x D29.5""",Leather,Moss,https://www.sohohome.com/products/theodore-armchair-leather/72737183,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=389%3b0%3b389%3b0/images/original/279853-72737183-listingjpg.jpg,
"£2,195","Theodore Armchair, Leather",Armchair,Armchair,"H84.5 x W64 x D75cm / H33.3 x W25.2 x D29.5""",Leather,Honey,https://www.sohohome.com/products/theodore-armchair-leather/72737206,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=389%3b0%3b389%3b0/images/original/279865-72737206-listingjpg.jpg,
"£2,195","Theodore Armchair, Leather",Armchair,Armchair,"H84.5 x W64 x D75cm / H33.3 x W25.2 x D29.5""",Leather,Chestnut,https://www.sohohome.com/products/theodore-armchair-leather/72790065,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=389%3b0%3b389%3b0/images/original/279890-78106920-listingjpg.jpg,
"£2,195","Theodore Armchair, Leather",Armchair,Armchair,"H84.5 x W64 x D75cm / H33.3 x W25.2 x D29.5""",Leather,Black,https://www.sohohome.com/products/theodore-armchair-leather/74572642,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=848%2cheight=1130%2ctrim=1%3b0%3b1%3b0/images/original/183917-74572642-detail3jpg.jpg,
"£2,495","Milo Armchair, Leather, Black",Armchair,Armchair,"H73 x W74 x D76cm / H28.7 x W29.1 x D29.9""",Leather,Black,https://www.sohohome.com/products/milo-armchair-leather-black/78143512,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=389%3b0%3b389%3b0/images/original/276456-78143512-listingjpg.jpg,
"£2,495","Milo Armchair, Leather, Black",Armchair,Armchair,"H73 x W74 x D76cm / H28.7 x W29.1 x D29.9""",Leather,moss,https://www.sohohome.com/products/milo-armchair-leather-moss/78131366,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=389%3b0%3b389%3b0/images/original/276420-78131366-listingjpg.jpg,
£995,"Karine Armchair, Dark Stain, Velvet, Grey Blue",Armchair,Armchair,"H69 x W72 x D83cm / H27.2 x W28.3 x D32.7""",velvet,Grey Blue,https://www.sohohome.com/products/karine-armchair-dark-stain-grey-blue/78116509,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/278944-78116509-listingjpg.jpg,
"£1,395","Karine Armchair, Dark Stain, Linen, Olive",Armchair,Armchair,"H69 x W72 x D83cm / H27.2 x W28.3 x D32.7""",Linen,Olive,https://www.sohohome.com/products/karine-armchair-dark-stain-linen-olive/72736803,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/278930-72736803-listingjpg.jpg,
"£2,695","Garret Armchair, Boucle, Natural",Armchair,Armchair,"H76 x W97 x D91cm / H30 x W39 x D36""",Textured Wool Boucle,Natural,https://www.sohohome.com/products/garret-armchair-boucle-natural/74507255,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/183669-74507255-listingjpg.jpg,
